Material Description,Material Code,Liters/Crate,Pieces/Crate,Liters/Piece,Category
Amul IC Tricone Van (Rural) 40ml (20x8),ICTRVAN35,6.4,160,0.04,40 ML TRI CONE
Amul IC Tricone Van (Rural) 40ml (20x8),ICTRVAN35,6.4,160,0.04,40 ML TRI CONE
Amul IC Tricone Van (Rural) 40ml (20x8),ICTRVAN35,6.4,160,0.04,40 ML TRI CONE
Amul IC Tricone Van (Rural) 40ml (20x8),ICTRVAN35,6.4,160,0.04,40 ML TRI CONE
Rajwadi kulfi 40ml (20x8)  (AGRIFRESH),EXPORT,6.4,160,0.04,40 ML Rajwadi CANDY
Rajwadi kulfi 40ml (20x8) ( BABASONS ),EXPORT,6.4,160,0.04,40 ML Rajwadi CANDY
Rajwadi kulfi 40ml (20x8) (WITHOUT NAME),EXPORT,6.4,160,0.04,40 ML Rajwadi CANDY
IC STK Rajwadi kulfi 40ml (20x8) ,ICSTRJW85,6.4,160,0.04,40 ML Rajwadi CANDY
IC STK Rajwadi kulfi 40ml (20x8),ICSTRJW85,6.4,160,0.04,40 ML Rajwadi CANDY
IC STK Rajwadi kulfi 40ml (20x8)  (QATAR ),EXPORT,6.4,160,0.04,40 ML Rajwadi CANDY
IC STK Rajwadi kulfi 40ml (20x8)  ( BABASONS  ),EXPORT,6.4,160,0.04,40 ML Rajwadi CANDY
IC STK Prolife Chocobar 30ml (20x14),ICSTCHB103,8.4,280,0.03,30 ML CANDY
IC Cup Vanilla 30ml (24x8),ICCUVAN112,5.76,192,0.03,30 ML CUP
IC Cup Vanilla 30ml (24x8),ICCUVAN112,5.76,192,0.03,30 ML CUP
IC Cup Strawberry 30ml (24x8),ICCUSTR113,5.76,192,0.03,30 ML CUP
IC Cup Strawberry 30ml (24x8),ICCUSTR113,5.76,192,0.03,30 ML CUP
